date,n1,n2,n3,n4,n5,n6,lucky
2026-04-11,1,6,8,14,22,34,1
2026-04-08,2,9,21,22,26,35,3
2026-04-04,4,5,9,12,21,24,3
2026-04-01,8,12,23,24,29,40,6
2026-03-28,13,17,19,26,29,40,1
2026-03-25,6,16,27,28,35,39,5
2026-03-21,3,5,7,21,37,39,6
2026-03-18,10,29,30,31,39,42,6
2026-03-14,14,15,21,22,37,41,1
2026-03-11,5,7,19,35,40,42,4
2026-03-07,4,5,13,14,33,39,4
2026-03-04,4,10,11,28,30,39,5
2026-02-28,13,14,15,27,29,40,4
2026-02-25,5,13,26,31,36,40,1
2026-02-21,11,15,28,31,35,40,5
2026-02-18,5,6,10,24,28,40,1
2026-02-14,6,11,33,38,41,42,4
2026-02-11,14,15,28,34,37,39,5
2026-02-07,30,33,35,36,37,38,6
2026-02-04,7,17,23,25,33,38,6
2026-01-31,20,30,31,33,36,38,1
2026-01-28,7,18,20,23,39,42,3
2026-01-24,10,11,21,35,41,42,1
2026-01-21,1,4,11,20,23,26,1
2026-01-17,3,6,12,14,21,24,1
2026-01-14,3,6,16,20,32,33,3
2026-01-10,14,24,28,31,37,39,2
2026-01-07,15,20,22,34,35,39,3
2026-01-03,1,3,22,28,36,37,6
2025-12-31,1,11,23,37,39,40,6
